Date,GOOGL,IBM,AMZN,FB,AAPL
2017-07-28,958.33,141.37199923459,1020.04,172.45,148.89586273252
2017-07-27,952.51,142.13622516433,1046.0,170.44,149.95157921745
2017-07-26,965.31,142.4203604459,1052.8,165.61,152.83986016677
2017-07-25,969.03,143.2335752173,1039.87,165.28,152.12276972418
2017-07-24,998.31,143.0376198507,1038.95,166.0,151.47539640795
2017-07-21,993.84,144.10557659868,1025.67,164.43,149.66275112251
2017-07-20,992.19,144.67384716182,1028.7,164.53,149.73246824888
2017-07-19,992.77,144.54647617353,1026.87,164.14,150.40972033355
2017-07-18,986.95,150.88563228309,1024.38,162.86,149.47351892239
2017-07-17,975.96,149.91565321841,1010.04,159.73,148.9556202694
2017-07-14,976.91,151.12077872301,1001.81,159.97,148.43772161642
2017-07-13,968.7175,150.52311485487,999.855,159.26,147.17285375241
2017-07-12,967.66,150.59169923318,1006.51,158.9,145.15105708788
2017-07-11,953.53,150.09201304835,994.13,155.27,144.94190570879
2017-07-10,951.0,150.31736171994,996.47,153.5,144.47380500321
2017-07-07,940.81,149.8470688401,978.76,151.44,143.59736112893
2017-07-06,927.69,149.27879827695,965.14,148.82,142.15322065427
2017-07-05,932.26,150.56230592819,971.4,150.34,143.5077248236
2017-07-03,919.46,152.43367967924,953.66,148.43,142.92010904426
2017-06-30,929.68,150.71907022147,968.0,150.98,143.43800769724
2017-06-29,937.82,151.01300327138,975.93,151.04,143.09938165491
2017-06-28,961.01,152.17893770265,990.33,153.24,145.2406933932
2017-06-27,948.09,151.62046490784,976.78,150.58,143.15913919179
2017-06-26,972.09,152.09075778768,993.98,153.59,145.23073380372
2017-06-23,986.09,150.99340773472,1003.74,155.07,145.75859204618
2017-06-22,976.62,151.27754301629,1001.3,153.4,145.04150160359
2017-06-21,978.59,150.67987914815,1002.23,153.91,145.28053175112
2017-06-20,968.99,151.81642027444,992.59,152.25,144.4240070558
2017-06-19,975.22,151.70864482281,995.17,152.87,145.7486324567
2017-06-16,958.62,152.23772431264,987.71,150.64,141.69507953817
2017-06-15,960.18,151.10118318635,964.17,149.8,143.70691661321
2017-06-14,967.93,150.69947468481,976.47,150.25,144.57340089801
2017-06-13,970.5,151.13057649134,980.79,150.68,145.99762219371
2017-06-12,961.81,152.04176894603,964.83,148.44,144.7327543297
2017-06-09,970.12,150.98360996639,978.31,149.63,148.37796407954
2017-06-08,1004.28,149.02405630037,1009.94,154.71,154.36367735728
2017-06-07,1001.59,147.9267062474,1010.07,153.12,154.74214175754
2017-06-06,996.68,149.28859604528,1002.97,152.81,153.82585952534
2017-06-05,1003.88,149.3277871186,1011.34,153.63,153.30796087235
2017-06-02,996.12,148.97506745872,1006.73,153.61,154.82181847338
2017-06-01,988.29,149.58252909519,995.95,151.53,152.56099166132
2017-05-31,987.09,149.54333802187,994.62,151.46,152.14268890314
2017-05-30,996.17,148.66153887216,996.7,152.38,153.04901154586
2017-05-26,993.27,149.40616926524,995.78,152.13,152.98925400898
2017-05-25,991.86,150.10181081668,993.38,151.96,153.24820333547
2017-05-24,977.61,149.42576480191,980.35,150.04,152.72034509301
2017-05-23,970.55,148.95547192206,971.54,148.07,153.17848620911
2017-05-22,964.07,149.5531357902,970.7,148.24,153.36771840924
2017-05-19,954.65,148.90648308041,959.84,148.06,152.34188069275
2017-05-18,950.5,147.7307508808,958.49,147.66,151.92357793457
2017-05-17,942.17,147.87771740575,944.52,144.85,149.64283194355
2017-05-16,964.61,150.57210369652,966.07,149.78,154.84173765234
2017-05-15,959.22,148.4459879689,957.97,150.19,155.07080821039
2017-05-12,955.14,147.32904237927,961.35,150.33,155.46919178961
2017-05-11,955.89,147.60337989251,947.62,150.04,153.32788005131
2017-05-10,954.84,148.19124599232,948.95,150.29,152.01857223874
2017-05-09,956.71,149.0338540687,952.82,150.48,152.71290213935
